asset_id,page_title,url,page_type,audience,draft_owner,date_created,status,required_disclosures,parent_hub
CORE-001,Home,/,hub,General,Cowork,2026-08-06,Draft,Firm entity disclosure; Form CRS link,n/a
CORE-002,About,/about/,hub,General,Cowork,2026-08-06,Draft,Firm entity disclosure,n/a
CORE-003,Our Approach,/our-approach/,hub,General,Cowork,2026-08-06,Draft,None identified yet,n/a
CORE-004,Who We Help,/who-we-help/,hub,General,Cowork,2026-08-06,Draft,None identified yet,n/a
CORE-005,Services,/services/,hub,General,Cowork,2026-08-06,Draft,None identified yet,n/a
CORE-006,Insights,/insights/,hub,General,Cowork,2026-08-06,Draft,Editorial disclosure as needed,n/a
CORE-007,Resources,/resources/,hub,General,Cowork,2026-08-06,Draft,None identified yet,n/a
CORE-008,FAQ,/faq/,hub,General,Cowork,2026-08-06,Draft,None identified yet,n/a
CORE-009,Contact,/contact/,utility,General,Cowork,2026-08-06,Draft,Privacy notice; do-not-submit-sensitive-info notice,n/a
CORE-010,Schedule a Conversation,/schedule/,utility,General,Cowork,2026-08-06,Draft,Privacy notice,n/a
CORE-011,Form CRS / Disclosures,/disclosures/,legal,General,Cowork,2026-08-06,Draft,Form CRS link required,n/a
CORE-012,Privacy Policy,/privacy/,legal,General,Cowork,2026-08-06,Draft,Privacy review required,n/a
CORE-013,Terms of Use,/terms/,legal,General,Cowork,2026-08-06,Draft,Legal review required,n/a
CORE-014,Accessibility Statement,/accessibility/,legal,General,Cowork,2026-08-06,Draft,None identified yet,n/a
SVC-001,Financial Planning,/services/financial-planning/,service,General,Cowork,2026-08-06,Draft,Compliance review required,Services
SVC-002,Wealth Management,/services/wealth-management/,service,General,Cowork,2026-08-06,Draft,Compliance review required,Services
SVC-003,Retirement Planning,/services/retirement-planning/,service,Pre-retirees; retirees,Cowork,2026-08-06,Draft,Compliance review required,Services
SVC-004,Investment Strategy,/services/investment-strategy/,service,General,Cowork,2026-08-06,Draft,Compliance review required; no performance content,Services
SVC-005,Business-Owner Planning,/services/business-owner-planning/,service,Business owners,Cowork,2026-08-06,Draft,Compliance review required,Services
SVC-006,Executive Financial Planning,/services/executive-financial-planning/,service,Corporate executives,Cowork,2026-08-06,Draft,Compliance review required,Services
SVC-007,Business Succession Planning,/services/business-succession-planning/,service,Business owners,Cowork,2026-08-06,Draft,Compliance review required,Services
SVC-008,Estate-Planning Coordination,/services/estate-planning-coordination/,service,General; HNW families,Cowork,2026-08-06,Draft,Not legal advice disclaimer,Services
SVC-009,Insurance and Risk Planning,/services/insurance-and-risk-planning/,service,General,Cowork,2026-08-06,Draft,Compliance review required,Services
